question,optionA,optionB,optionC,optionD,solution
What did the seven dwarves do for a living?,Farmers,Wood cutters,Miners,Hunters,3
How many people swore the so-called Ruetli oath in the 14th century which apparently helped set the path for Switzerland to become a confederacy?,One,Three,Fourteen,Ninety-two,2
Which artist graced the cover of a 2013 issue Billboard issue with a paper bag over her face?,Miley Cyrus,Avril Lavigne,Kesha,Sia,4
How many years ago did dinosaurs die out?,200 million years ago,65 million years ago,10 million years ago,5 million years ago,2
Who invented the BALLPOINT PEN?,Biro Brothers,Waterman Brothers,Bicc Brothers,Write Brothers,1
During the harvest celebration of Incwala in Swaziland no one may eat until who does so?,The King,The oldest woman present,The winner of a foot race,The Shaman,1
Which 1939 movie based on a book featured Judy Garland?,The Wizard of Oz,When Harry met Sally,Titanic,Psycho,1
The Mona Lisa Leonardo da Vinci's magnum opus draws crowds into which famous European museum?,Musee du Louvre,British Museum,Acropoli Museum,Smithsonian Institute,1
What central feature of Hinduism did Buddhism reject?,Union with a universal spirit as a major goal,Use of missionaries to spread the religion,The caste system,Reincarnation,3
Who is the only U.S. President to invent and patent something?,Abraham Lincoln,Theodore Roosevelt,Thomas Jefferson,Rutherford B. Hayes,1
When was the Human Genome Project Initiated?,1988,1990,1992,1995,2
The quote 'A dirty mind is a terrible thing to waste.' comes from which film?,Ferris Bullers Day Off,Steel Magnolias,American Pie,American Graffiti,2
In 1997  Hong Kong was officially returned to China by whom?,Japan,United Kingdom,Philippines,Portugal,2
In 1995 the first ever completely computer generated film debuted  what was it?,Toy story,Frozen,Madagascar,Ants,1
The element common to all acids is,Hydrogen,Carbon,Sulphur,Oxygen,1
What was the treaty that ended WWI that laid some of the unrest that would later explode into WWII?,Geneva Conference,Treaty of Versailles,Paris Peace Accords,Treaty of Brest-Litovsk,2
"Who is the Greek goddess of wisdom, war, arts, industry, justice, and skill?",Persephone,Hera,Athena,Arachne,3
In the story of the 'Bremen Town Musicians' which of these animals is not found in the story?,Cat,Owl,Rooster,Donkey,2
In which Shakespearean play do you meet 'the three witches'?,Tempest,Holy Grail,Macbeth,Da Vinci Code,3
Jean-Jacques Rousseau was born in which Swiss city?,Basel,Zurich,Geneva,Bern,3
What number is the highest Dan in Judo?,12th,1st,3rd,20th,1
According to legend why did William Tell have to shoot an apple off the head of his son Walter?,William had refused to bow before a hat on a pole,Walter was dangerously allergic to apples,It was a test he had to pass to be allowed to join the Swiss army,To appease a local pagan god of fruit,1
Pollination by wind is called,anemophily,hydrophily,zoophily,entomophily,1
John Locke's contract theory of government argued that,the only legitimate governments are the ones that allow all adults regardless of sex and race to vote,kings have a 'divine' right to rule their subjects as long as their subjects prosper,governments were formed when strong men seized authority,"men have certain rights in the state of nature including the right to life, liberty  and property",4
Chemical formula for water is,NaAlO2,H2O,Al2O3,CaSiO3,2
Kilowatt is a unit to measure,work,power,electricity,current,2
In the film 'The Silence of the Lambs' which actor played the part of Hannibal Lector?,Anthony Hopkins,Brad Pitt,Benedict Cumberbatch,Taylor Kinney,1
What did Enrico Fermi invent?,X ray machine,Betatron,Cyclotron,Nuclear reactor,4
Myopia is connected with,ears,eyes,lungs,none of these,2
Most soluble in water is,Camphor,Sulphur,common salt,sugar,4
In what ways has Ancient Rome been governed?,Kings,Republic,Emperors,All of the above,4
The Flag of Europe used by the Council of Europe and the European Union has how many yellow stars?,15,10,28,12,4
What was Ethiopia formerly known as?,Abyssinia,Erithrea,Syria,Iran,1
Which of these artists went viral with a music video featuring a flash mob and marriage proposal inside a Home Depot store?,Little Mix,Betty Who,Tegan and Sara,Kat Dahlia,2
The largest dune files are found in,Middle East,North Africa,both (a) and (b),None of the above,3
Who painted The Mona Lisa?,Frans Hals,Leonardo Da Vinci,Edgar Degas,Pablo Picasso,2
The first Oktoberfest was organized to help celebrate what major event?,The Ending of the Napoleonic Wars,The birth of a crown prince,The breakup of Prussia,The wedding of Bavarian royalty,4
Whose autobiography has the title 'A Long Walk to Freedom'?,Ranaulph Fiennes,Nelson Mandela,Mikhail Gorbachev,Mother Teresa,2
Even the smallest person can change the course of the future.' is a famous quote from which series of movies?,Twilight,The Lord of the Rings,Star Trek,Star Wars,2
RADAR is used for,locating submerged submarines,receiving signals in a radio receiver,locating geostationary satellites,detecting and locating the position of objects such as airplanes,4
What was groundbreaking about the development of democracy?,People were able to govern without using written laws,People were governed by councils instead of by an absolute ruler,Democracy brought together religious faith and government,Democracy balanced power among religious leaders and kings,2
What product was once directed at women and advertised as an appetite suppressant or a means to remain slim?,Cigarettes,Marijuana,Cocaine,Amphetamines,1
From what area of the African continent were most African slaves captured?,North Africa,West Africa,South Africa,East Africa,2
Hello. My name is Inigo Montoya. You killed my father. Prepare to die.' Name the movie.,Terminator,Die Hard,The Princess Bride,Predator,3
Which country always leads the parade of participants at the Olympic Games?,Greece,Germany,Great Britain,Ghana,1
Name the Shakespearean play in which you get to meet twins - a brother and a sister?,Tempest,Macbeth,Twelfth Night,Romeo and Juliet ,3
Complete the title of the James Bond film 'The Man with the Golden __' ?,Gun,Tooth,Delicious,Eagle,1
Eminem and which star have a Billboard 100 hit with the song 'The Monster'?,Kesha,Lady Gaga,Miley Cyrus,Rihanna,4
Which South African president started aboloshing Apartheid laws and later put an end to it?,F.W.de Klerk,Jacob Zuma,Thabo Mbeki,P.W.Botha,1
What Karl Benz invented?,Gasoline powered automobile,Streetcar,Glider,Steam turbine,1
When did Roger Federer win his first Wimbledon singles title?,2003,2011,2015,1999,1
The second largest island (next to Greenland) in the world is,Borneo,Madagascar,New Guinea,Sumatra,3
Bruce Willis is best known for his role of John McClane in which film series?,Speed,Die Hard,Rambo,The Expendables,2
How many medals did Switzerland win at the 2012 Olympic Games?,4,15,20,1,1
The Pyrenees mountains are located on the border between ____ and ____,Romania Bulgaria,Norway Sweden,Hungary Romania,France Spain,4
The most densely populated regions in the world are,the monsoon climatic regions,the equatorial regions,the hot desert climatic regions,the summer climatic regions,1
The transverselongitudinal and surface waves in an earthquake originate from,the epicentre within the body of the earth,the focus on the surface of the earth,the focus within the body of the earth,the epicentre on the body of the earth,3
What are the two divisions of the autonomic nervous system?,Sympathetic and Parasympathetic divisions,Central and peripheral divisions,Cortical and Sub-cortical divisions,Neuron and Hormone Divisions,1
The moon's volume is about ____ of the earth's volume.,1/40 th,1/50 th,1/60 th,1/20 th,2
Arundhathi Roy won the Booker Prize in the year 1997. Can you name the novel for which she was awarded this prestigious award?,The God of Big Things,The God of Small Things,The Jungle Book ,Slumdog Milllionaire,2
World War I began in which year?,1923,1938,1917,1914,4
Which is the best known work by Rudyard Kipling?,Cinderella,The Jungle Book,Snow White,The Lion King ,2
Who had a face that 'launched a thousand ships'?,Hera,Medusa,Cleopatra,Helen of Troy,4
In 1348 the Black Death entered Europe through ____ ship traders.,African,Latin,Brazilian,Asian,4
The main use of salt in the diet is to,make the taste of food better,produce in small amounts the hydrochloric acid required for the digestion of food,ease the process of cooking,increase the solubility of food particles in water,2
According to the opening line of Ylvis' viral smash 'The Fox' how does the dog go?,Ruff,Bark,Woof,Ow Ow Ow,3
Of the following which drug fits into the benzodiazepine class?,Marijuana,Valium,Morphine,Heroin,2
Keeping your nervous system healthy is the work of what type of mineral?,Calcium,Iron,Zinc,Potassium,4
Number of chromosomes in Down's syndrome are,46,47,48,49,2
Who invented Gunpowder?,G. Ferdinand Von Zeppelin,Sir Frank Whittle,Roger Bacon,Leo H Baekeland,3
CORN FLAKES - Who made them first?,Nabisco,Kellogg,Quaker,Archers,2
The temperature of a star's surface is determined by:,How close it is to the sun,How large it is,The rate at which hydrogen is being converted into helium,Massive forest fires on the star's surface,3
Don't you worry child' is performed by Swedish House Mafia together with...?,Maroon 5,John Martin,Pitbull,Ludacris,2
Members of the landholding upper class during the early Roman republic were called,Plebeians,Tribunes,Patricians,Consuls,3
Who is the English physicist responsible for the 'Big Bang Theory'?,Albert Einstein,Michael Skube,George Gamow,Roger Penrose,3
Which two sports that start with the letter C are no longer olympic ?,Cricket and Croquet,Canoeing and Cycling,Cycling and Cricket,Cricket and Canoeing,1
Cheetahs are the fastest quadruplets. In short bursts they can reach speeds up to,120km/hr (75mph),100km/hr (60mph),80km/h (50mph),60 km/h (37mph),2
All of the following commonly characterize the development of civilization EXCEPT,Public building projects,A written language,long distance trade,Increasing equality among all citizens,4
Which of the following females often eat the male after mating,Mantid(Praying Mantid),Scorpions,Both,Neither one,3
The planet with the maximum number of natural satellites (moons) so far discovered is,Jupiter,Neptune,Saturn,Uranus,1
The percentage of sun's radiation reflected back into space is about,36 percent,47 percent,17 percent,None of the above,1
Which of the following languages does not derive from the same family as the others listed?,English,Latin,Japanese,Greek,3
Which legal document states a person's wishes regarding the disposal of their property after death?,Will,Shall,Would,Should,1
The habitats valuable for commercially harvested species are called,coral reefs,sea grass bed,hot spots,None of the above,2
Sound waves in air are,transverse,longitudinal,electromagnetic,polarized,2
The landmass of which of the following continents is the least?,Africa,Australia,Asia,Europe,2
Which is the smallest member of the flute family?,Pan flute,Piccolo,Flute,Harmonica,2
The disease that ravaged and killed a third of Europe's population in the 14th century is known as,the white death,the black plague,smallpox,the bubonis plague,4
In the story of the dancing princesses how many princesses were there?,12,7,3,5,1
Nymph is the name of young one of,butterfly,beetle,housefly,cockroach,4
The meridian passing through London is called the,Equator,Tropic of Cancer,Prime Meridian of 0 degrees Meridian,Tropic of Capricorn,3
It is easier to roll a stone up a sloping road than to lift it vertical upwards because,work done in rolling is more than in lifting,work done in lifting the stone is equal to rolling it,work done in both is same but the rate of doing work is less in rolling,work done in rolling a stone is less than in lifting it,4
Jane Eyre' was written by which Bronte sister?,Anne,Charlotte,Emily,Isabelle,2
What was the last major attempt at a peaceful resolution with Germany prior to the outbreak of WWII?,The Munich Conference,The 1936 Olympic Conferences,The Washington Naval Conference,The Geneva Convention,1
In the fairy tale version of Bluebeard what does bluebeard's wife try to clean?,Bluebeard's bed,Her shoes,A key,Bluebeard's robe,3
The UNO was founded at,Moscow,London,Paris,San Francisco,4
The significance of peace is denoted by which of the following symbol?,Olive branch,Green Light,Lotus,Green flag,1
Who put the first telescope to practical use?,Galileo,Copernicus,Ptolemy,Socrates,1
In what year did scientists clone a sheep names Dolly?,1994,1995,1996,1997,4
The Battle of Britain consisted of,A Sea-borne landing operation,Unrestricted submarine warfare,Strategic bombing campaign,The largest tank battles in history,3
Which artist shares his name with a colour of hair so-called as he frequently painted women with this colour?,Titian,Flax,Copper,Blondie,1
In the game of snooker how many balls are present on the table at the beginning of a game?,22,15,30,45,1
Which artistic movement was founded by Georges Braque and Pablo Picasso? ,Impressionism,Cubism,Expressionism,Baroque,2
What is the unit for measuring the amplitude of a sound?,Decibel,Coulomb,Hum,Cycles,1
Oil and gas are mainly derived from which of the following sources?,Trees and larger plants,Phytoplanktonic material found in marine basins,Freshwater algae,Dead animals,2
The greatest concentration of oil is found in which of the regions of the world given below?,North America,South America,Middle East,Europe,3
The iron and steel industries of which of the following countries are almost fully dependent on imported raw materials?,Britain,Japan,Poland,Germany,2
Where was Protestant reformer Ulrich Zwingli born?,Kloten,Zurich,Wildhaus,Vatican City,3
Who made a pact with the demon Mephistopheles?,Faust,Fist,Fern,Fabian,1
When did Hermann Hesse win the Nobel Prize for Literature?,1962,1988,1946,1982,3
The time at a place is determined by,the parallels of longitude,the parallels of latitude,the distance from equator,the distance from prime meridian,1
What is the name of the character who wanted to become a nun but ended up taking care of seven children in the movie 'Sound of Music' ?,Penny,Shannon,Maria,Kathy,3
The ELECTRIC BATTERY who's charged with inventing this one?,Hertz,Amper,Galvani,Volta,4
When did Belize become independent from the UK?,1981,1971,1951,1961,1
The study of human geography includes the study of,human society and culture,behaviour and urban systems,economics and politics,All of the above,4
The hardest substance available on earth is,Gold,Iron,Diamond,Platinum,3
The unit of 'light year' is used for measuring,speed of satellites,speed of ships,distance between bodies in the universe,speed of rockets,3
The average salinity of sea water is,0.03,0.035,0.025,0.02,2
Wimbledon's famous postcode is SW__,10,15,20,19,4
During which of Freud's Psychosexual stages of development do people repress all interest in sexuality?,Oral (0 - 18 months),Anal (1- 3 years),Phallic (3 - 6 years),Latency (6 years-puberty),4
In which famous novel does Edward Fairfax Rochester play a significant role? ,Shirley ,Wuthering Heights,Jane Eyre ,Florence Nightingale ,3
Which of the following is used in pencils?,Graphite,Silicon,Charcoal,Phosphorous,1
When is Fasnacht usually celebrated?,Winter,Spring,Autumn ,Summer,1
Which of these elements is needed to make nuclear energy and nuclear weapons?,Sodium chloride,Uranium,Nitrogen,Carbon Dioxide,2
The soil found in areas of heavy rainfall and high humidity where there is good growth of vegetation is,peat and marshy soil,saline and alkaline soil,black soil,alluvial soil,1
The minor planets revolving between the orbits of Jupiter and Mars are called,Novas,Comets,Meteors,Asteroids,4
Piaget's theory of mental development is divided into,4 stages,6 stages,8 stages,12 stages,1
Movements due to light are shown by,flowering plants,lower plants,all land plants,all the plants,1
Plant have ____ while animals lack it.,Starch,Cellulose,Protein,Fat,2
This man helped to pant one of England's first colonies in the 1580s. ,William Bradford,Walter Raleigh,Richard Hakluyt,John Smith,4
Positive integers that are greater than 1 and are divisible by one and themselves. ,Negative numbers,Prime numbers,Odd integers,Even integers,2
"What genre of music became much more popular and mainstream in the 2000s that featured superstar artists like Jay-Z, Kanye West, Outkast, Eminem and many others?",Rap & Hip Hop,Rhythm & Blues,Country & Western,Jazz & Soul,1
Which is the national anthem of Switzerland?,Swiss Psalm,God Save the Queen,Star Spangled Banner,Jana Gana Mana,1
The hot and cold deserts together occupy nearly ____ land area of the world.,half,1/4th,1/3rd,3/4th,3
The process of soil development is called,leaching,illuviation,eluviation,pedogenesis,4
Photosynthesis is a ___ Process,reductive and exergonic,reductive,reductive endergonic and catabolic,reductive endergonic and anabolic,4
Soda water contains,carbonic acid,sulphuric acid,carbon dioxide,nitrous acid,3
The humidity of the air depends upon the,temperature,location,weather,All of the above,4
What name is given to the programme of baseball competitions organized for youngsters in the USA?,Big league,Little school,Little league,Baseball league,3
Balloons are filled with,nitrogen,oxygen,helium,argon,3
"Which popular 1990s TV series that ran from 1994-2004 featured characters named Rachel, Monica, Phoebe, Joey, Chandler, and Ross?",E.R.,Everybody loves Raymond,Friends,Gilmore Girls,3
The propagation of radio signals is greatly influenced by,troposphere,ionosphere,exosphere,thermosphere,2
A blue star is ... than a red star.,cooler,hotter,bigger,smaller,2
Which actress portrayed Princess Leia Organa in the original Star Wars trilogy?,Daisy Ridley,Loni Anderson,Carrie Fisher,Joanna Cameron,3
If you see the phrases 'O Draconian devil!' 'Oh Lame Saint!' and 'So Dark the Con of Man' what 2000s bestseller ought to come to mind? ,The Da Vinci Code,The Kite Runner,Netherland,Fast Food Nation,1
The firebombing of this German town was a major civillian tragedy during the war.,Dusseldorf,Dresden,Stutgaart,Frankfurt,2
In 1991The Soviet Union admitted that,its flag had been flying upside down at the Kremlin for the past 10 years. ,the assasination of J.F.Kennedy has been a national conspiracy,its clocks had been off by one hour for the past 61 years,the amount of counterfeit money in circulation exceeded real currency,3
What year did Rihanna release a song called 'Disturbia'?,2008,1995,2005,2000,1
The light of distant stars is affected by,the earth's atmosphere,interstellar dust,both (a) and (b),None of the above,3
The latitudinal differences in pressure delineate a number of major pressure zones which correspond with,zones of climate,zones of oceans,zones of land,zones of cyclonic depressions,1
The creation of agricultural surpluses resulted in,an industrial revolution,social stratification,a lack of social stratification,matrilocal patterns of marriage,2
If you build it they will come' is a famous line from which film?,Noah's Ark,Jurassic Park,Titanic,Field of Dreams,4
What are the names of Heidi's (dead) parents?,Adelheid & Tobias,Sarah & Simon,Sophie & Johan,Eva & Markus,1
During the time of dinosaurs how many continents were there on Earth?,1,3,4,8,1
The minerals of sulphide group are,Cinnabar,Pyrite,Galena,All of the above,4
In which popular story would you find a talking cricket?,Peter Pan,Pinocchio,Cinderella,Briar Rose,2
Apple computers first appeared in which decade?,1950's,1960's,1970's,1980's,3
The sediment deposited at the base of the glacier is called,till,moraine,glacial sand,None of the above,1
O2 released in the process of photosynthesis comes from,CO2,water,sugar,pyruvic acid,2
Who fought in the war of 1812?,Andrew Jackson,Arthur Wellsley,Otto Von Bismarck,Napoleon,1
Which individual is not mentioned in the Quran?,Jesus,Mary,Noah,Pope John Paul II,4
The plants of which of the following crops are highly sensitive to frost?,Barely,Cotton,Maize,None of the above,2
Your computer has gradually slowed down. What's the most likely cause?,Overheating,Your processor chip is just getting old,Adware/spyware is infecting your PC,You dropped a sandwich in your computer,3
Who was the first actor to say the famous quote 'Bond James Bond.' on film?,Timothy Dalton,Pierce Brosnan,Sean Connery,Roger Moore,3
Approximately how many languages are spoken in the world?,500,2700,4300,7500,2
What is the one continent on Earth where coal is not found? ,Africa,North America,Australia,Antarctica,3
What is the 'perfect score' in a single game of Ten Pin Bowling?,300,200,400,900,1
The main examples of Rabi crop are,"wheat, barley, peas, rapeseed, mustard grams","rice, jowar, barley, wheat;wheat cotton and jute",All of the above,None of the above,1
Which of these fairy tale characters loses a shoe?,Red Rose,Belle,Snow White,Cinderella,4
What was the first name of William Tell's son the one who stood under the apple?,Manuel,Cornel,Tobias,Walter,4
The major cause of species extinction is,agricultural activities,extraction (including mining fishing logging),development (human settlements industry),habitat loss and degradation,4
How many former republics of USSR have become members of the Commonwealth of Independent States?,11,10,12,9,1
Stars appears to move from east to west because,all stars move from east to west,the earth rotates from west to east,the earth rotates from east to west,the background of the stars moves from west to east,2
Where did fictional characters Sherlock Holmes and Professor Moriarty engage in a hand to hand fight?,Lake Geneva,Pilatus,Reichenbach Falls,Jungfraujoch,3
What is the maximum duration of a Formula One Championship race?,10 hours,5 hours,2 hours,3.5 hours,3
"Besides UK, USA, Germany and Japan the G-7 countries includes",Canada France and Russia,Canada Italy and Netherlands,France Netherlands and Russia,Canada France and Italy,4
James Bond's mother was Swiss but from which canton?,Luzern,Schwyz,Vaud,Uri,3
What do Muslims traditionally eat to break their fast during the holy month of Ramadan?,Lentils,Dates,Chocolates,Tomatoes,2
What celebration precedes the Catholic holiday of Lent in Rio de Janeiro?,Carnival,All Souls Day,Christmas,Good Friday,1
The major constituent of air is,Nitrogen,Carbon Dioxide,Oxygen,Hydrogen,1
Which Swiss ski resort has twice hosted the Winter Olympics?,St. Moritz,Gstaad,Davos,Wengen,1
How many days after the election was George W. Bush finally proclaimed President of the USA?,15 days,24 days,35 days,55 days,3
Who was the youngest person to ever become president of the U.S.A.? ,Bill Clinton,Theodore Roosevelt,John F Kennedy,Abraham Lincoln,2
What percentage of the internet is in the English language?,0.34,0.55,0.86,0.98,3
Dead at the young age of 45 who was the flamboyant lead singer for Queen from 1970 to 1991?,Adam Lambert,Freddie Mercury,Paul Rodgers,Brian May,2
Which of the following statements about dinosaurs is not true?,Dinosaurs and humans were inhabitants of the earth together,Birds descend from dinosaurs,Dinosaurs walked the earth about 65 million years ago,Dinosaurs existed on earth longer than any other animal,1
The progressive wave theory regarding of tides was put forth by,R.A. Harris,Isaac Newton,William Whewell,G.B. Airy,3
The tropical cyclones with maximum sustained surface winds of 33 ms are called,tropical depressions,tropical storms,hurricane,None of the above,3
In the book 'The Lord of the Rings' who or what is Bilbo?,Dwarf,Wizard,Troll,Hobbit ,4
Where was the yo-yo invented?,France,US,Philippines,England,3
What invention caused many deaths while testing it?,Dynamite,Ladders,Race cars,Parachute,4
In which country was the 2014 football World cup be held?,Brazil,China,France,Spain,1
Brass gets discoloured in air because of the presence of which of the following gases in air?,Oxygen,Hydrogen sulphide,Carbon dioxide,Nitrogen,2
Whose fourth novel featuring Robert Langdon is a mystery thriller called Inferno?,Michael Crichton ,Dan Brown,Jude Devereaux,Malcolm Gladwell,2
Materials for rain-proof coats and tents owe their water-proof properties to,surface tension,viscosity,specific gravity,elasticity,1
What group of vitamins are the minerals Niacin and Thiamin part of? ,Vitamin A,Vitamin B,Vitamins C,Vitamin D,2
When was the completion of a rough draft of the genome announced?,24 February 1998,26 June 2000,16 April 2005,4 August 2001,2
I'm the King of the World' is a famous line from which blockbuster movie?,Shakespeare in Love,Shawshank Redemption,Titanic,The Green Mile,3
The most highly intelligent mammals are ,whales,dolphins,elephants,kangaroos,2
The largest country of the world by geographical area is,Russia,Vatican City,Australia,USA,1
In Skiing what is another name for cross-country racing?,Islandic,Nordic ,Asiatic,Germanic,2
The longest ship canal in the world is the,St. Laurence Seaway (USA and Canada),Suez canal (Egypt),Kiel canal (Germany),Panama canal (Central America),1
The hardest form of carbon is,coke,graphite,diamond,charcoal,3
Heroin breaks down into another well known drug when it enters the body what drug is it?,Morphine,Valium,Cocaine,Librium,1
Which consists of two plates separated by a dielectric and can store a charge?,Inductor,Capacitor,Transistor,Relay,2
Which future leader lived in Switzerland during World War I?,Lenin,Che Guevara,Winston Churchill,Franklin D Roosevelt,1
What name is given to a toboggan with metal runners but no steering or brakes ridden in a sitting or face up lying position?,Luge,Skis,Snowboard,Bobsled,1
When an iron nail gets rusted iron oxide is formed,without any change in the weight of the nail,with decrease in the weight of the nail,with increase in the weight of the nail,without any change in colour or weight of the nail,3
For whom high heeled shoes were invented?,Cleopatra,Queen Elisabeth I,King Louis the XIV,King Charles II,3
What is the brightest star in the night?,sirius,vy canis majoris,deubhe,vega,1
When did the Bay of pigs invasion happen?,1961,1964,1967,1959,1
The relative abundance of dissolved salts in seawater in descending order is as follows,chlorine sodium sulphate magnesium calcium potassium,sodium chlorine magnesium potassium calcium,chlorine magnesium  calcium sodium potassium sulphate,chlorine sodium magnesium calcium potassium sulphate,1
Which cartoon television show based on the Griffin family became popular in the early 2000s?,South Park,Family Guy ,Ben 10,The Simpsons,2
The term 'regur' refers to,deltaic alluvial soils,lateral soils,black cotton soils,red and yellow soils,3
Supersonic plane fly with the speed,less than the speed of sound,of sound,greater than the speed of sound,of light,3
The intersecting lines drawn on maps and globes are,Latitudes,Longitudes,Geographic grid,None of the above,3
The inherited traits of an organism are controlled by,RNA molecules,nucleotides,DNA molecules,enzymes,3
What legendary US festival that hosted over 350000 fans took place in 1969?,Carnival,Woodstock,Cannes,Paleo,2
Recently London hosted the Olympic Games. Which year was that? ,2009,2010,2012,2015,3
Ptyalin is an enzyme produced in the,salivary glands,pituitary glands,thyroid glands,pancreas,1
The inert gas which is substituted for nitrogen in the air used by deep sea divers for breathing is,Argon,Xenon,Helium,Krypton,3
Which of the following is NOT true about the American attack on Quebec?,One of the American leaders was Benedict Arnold,After a prolonged siege the British surrendered the city,It was the first of numerous defeats for the Americans,Smallpox ravaged the American forces,2
On a standard dart board what is the lowest number that cannot be scored with a single dart?,23,500,90,5,1
Which fictional character has been played by Gene Hackman John Shea Kevin Spacey and various other actors?,Lex Luthor ,Batman ,The Joker,Zorro,1
The higher the wind speed and the longer the fetch or distance of open water across which the wind blows and waves travel the ____ waves and the ____ energy they process.,larger more,larger less,smaller more,smaller less,1
The oldest rocks found in ocean basins are ____ than the oldest continental rocks.,older,younger,smaller,larger,2
Plants that grow under average temperature and moisture are called,halophytes,hydrophytes,mesophytes,xerophytes,3
Who is the wizard in The Hobbit?,Merlin,Medea,Gandalf,Jafar,3
The ratio of the weight of water vapour to the total weight of air (including the water vapour) is called,specific humidity,mixing ratio,relative humidity,absolute humidity,1
There is only one country in Africa in which the entire nation speaks the same language. Which is it?,Ethipoia,Somalia,South Africa,Kenya,2
In the classic version of Cinderella how many stepsisters does she have?,5,4,2,0,3
Most abundant tissues of our body are,muscular,connective,epithelial,nervous,2
Light travels at the fastest speed in,glass,water,hydrogen,vacuum,4
The largest gold producing country in the world in 2006 was,China,Canada,South Africa,USA,3
The time difference between each side of the International Date line is,12 Hours,24 hours,36 hours,48 hours,2
The hazards of radiation belts include,Deterioration of electronic circuits,Damage of solar cells of spacecraft,Adverse effect on living organisms,All of the above,4
Which man rose to prominence during the Great Awakening?,Benjamin Church,John Winthrop,Jonathan Edwards,John Cotton,3
Ozone hole refers to,hole in ozone layer,decrease in the ozone layer in troposphere,decrease in thickness of ozone layer in stratosphere,increase in the thickness of ozone layer in troposphere,3
What Disney film features the best belling song of 2014 'Let It Go'?,Frozen,Madagascar,Toy Story,Inside Out,1
Which post-impressionist painter lived mainly in Aix-en-Provence and painted a number of landscapes of the area? ,Claude Monet ,Edouard Manet,Edgar Degas,Paul Cezanne,4
The most important factor that is affecting all the chemical weathering processes is,vegetation,topography,climate,none of the above,3
Pigmentation of skin is due to,lymphocytes,monocytes,leucocytes,melanocytes,4
Which kind of waves are used to make and receive cellphone calls?,Radio waves,Visible light waves,Sound waves,Gravity waves,2
On which of the following plants did Gregor Mendel perform his classical experiment?,Gram,Maize,Pea,Wheat,3
The main factor determining a region's climate is,longitude,latitude,temperature,All of the above,2
On a rainy day small oil films on water show brilliant colours. This is due to,dispersion,interference,diffraction,polarization,2
What does 'No man is an island' mean? ,No man is self-sufficient,No man is selfish,No man is self-centred,No man is sullen,1
The longest day (shortest night) in the southern hemisphere is,21-Jun,22-Dec,21-Jul,22-Nov,2
Which British prime minister was awarded the Nobel Prize for Literature?,Sir Winston Churchill ,Tony Blair,David Cameron ,Margaret Thatcher ,1
Process of cell division can take place by,heterosis,fusion,mitosis,none of these,3
Which sport was Will Carling associated with?,Swimming,Soccer,Rugby ,Skating,3
Natural gas is composed mainly of which type of gas? ,Propane ,Methane,Butane,Ethane,2
How many lines does a sonnet have?,10,12,14,they vary,3
Which is the first Harry Potter book?,HP and the Goblet of Fire,HP and the Philospher's stone ,HP and the Chamber of Secrets ,HP and the Half Blood Prince ,2
Oxygen in our blood is transported by a protein named,haemoglobin,keratin,collagen,myoglobin,1
Atoms are composed of,electrons and protons,electrons only,protons only,electrons and nuclei,4
What colourful item do Bulgarians wear during Baba Marta a holiday celebrating the first day of spring?,Red and white bracelets,Gold tunics,Polka dot socks,Green scarves ,1
